,title,brand,description,price/currency,price/value,stars,reviewsCount,text,tokens,sentiment_score,Sentiments_labels,stars_category
10,"Diuyose Cartoon Anime Stickers, 100Pcs Cute Water Bottle Aesthetic Sticker for Waterbottle Laptop Skateboard, Kawaii Vinyl Waterproof Gift for Adults Kids Teens",Diuyose,,$,9.99,4.9,21.0,"Diuyose Cartoon Anime Stickers, 100Pcs Cute Water Bottle Aesthetic Sticker for Waterbottle Laptop Skateboard, Kawaii Vinyl Waterproof Gift for Adults Kids Teens ","['water', 'kawaii', 'aesthetic', 'kid', 'waterproof', 'teen', '100pcs', 'gift', 'bottle', 'cute', 'adult', 'anime', 'laptop', 'vinyl', 'diuyose', 'sticker', 'cartoon', 'skateboard', 'waterbottle']",0.19999999999999998,Positive,High Review
11,"Gogoonike Vertical Laptop Stand, Laptop Holder with Adjustable Dock, ABS Plastic Dual Slots Computer Holder Compatible with Smartphones, Tablet, Book, Document, Laptops(Up to 17.3 inches) and More",Gogoonike,Vertical Laptop Stand Holder,$,9.99,4.6,29.0,"Gogoonike Vertical Laptop Stand, Laptop Holder with Adjustable Dock, ABS Plastic Dual Slots Computer Holder Compatible with Smartphones, Tablet, Book, Document, Laptops(Up to 17.3 inches) and More Vertical Laptop Stand Holder","['dual', 'ab', 'book', 'holder', 'gogoonike', 'dock', 'inch', 'slot', 'compatible', 'vertical', '17.3', 'laptop', 'adjustable', 'tablet', 'document', 'stand', 'plastic', 'smartphones', 'computer']",0.0,Neutral,High Review
12,Aigemumy 50 PCS Funny Dog Stickers Cute Animal Sticker for Journaling Laptop Scrapbook Water Bottles Guitar Suitcase Phone Snowboard Waterproof Vinyl Gifts for Women Girl Kids Adult Teens,Aigemumy,,$,5.99,4.7,23.0,Aigemumy 50 PCS Funny Dog Stickers Cute Animal Sticker for Journaling Laptop Scrapbook Water Bottles Guitar Suitcase Phone Snowboard Waterproof Vinyl Gifts for Women Girl Kids Adult Teens ,"['snowboard', 'water', 'woman', 'waterproof', 'pc', 'kid', 'teen', 'aigemumy', 'animal', 'dog', 'gift', 'guitar', 'bottle', 'cute', 'adult', 'funny', 'laptop', 'vinyl', 'scrapbook', 'sticker', 'journaling', '50', 'girl', 'suitcase', 'phone']",0.2125,Positive,High Review
13,52 Pcs Wonka Movie Stickers Waterproof Vinyl Stickers for Water Bottles Laptop Skateboard Luggage Computer Stickers for Teens Girls Kids Boys,Shaari,"Stickers Are Waterproof. No Worries About Losing Their Viscosity Due To Moisture When Taking Them To Swimming Pools, Beaches, Camping Or Other Outdoor Places.",$,3.99,4.58,171.6,"52 Pcs Wonka Movie Stickers Waterproof Vinyl Stickers for Water Bottles Laptop Skateboard Luggage Computer Stickers for Teens Girls Kids Boys Stickers Are Waterproof. No Worries About Losing Their Viscosity Due To Moisture When Taking Them To Swimming Pools, Beaches, Camping Or Other Outdoor Places.","['movie', 'wonka', 'water', 'pool', 'due', 'taking', '52', 'swimming', 'kid', 'waterproof', 'pc', 'teen', 'worry', 'camping', 'bottle', 'place', 'viscosity', 'boy', 'laptop', 'losing', 'vinyl', 'luggage', 'outdoor', 'moisture', 'sticker', 'beach', 'skateboard', 'girl', 'computer']",-0.0625,Negative,High Review
14,"Miwasion Compatible with MacBook Air 13 inch Case,2020 2019 2018 Release(A2337 M1 A2179 A1932) with Touch ID and 2 Pack Keyboard Protectors,Laptop Hard Shell (Black Wave Wavy)",Miwasion,"Package includes: 1* Top Box 1* Transparent bottom case 2* Keyboard Cover Material: Plastic   Product Features With this unique protective case, you can use your Macbook Air 13 inch efficiently and conveniently!  The product material is excellent, can be reused, and maintain the original new appearance.  Distilled from the original design, it is a best practice helper.   High quality and customer satisfaction are our tenet. We hope that customers can use our products and provide them with satisfactory service",$,19.99,4.6,64.0,"Miwasion Compatible with MacBook Air 13 inch Case,2020 2019 2018 Release(A2337 M1 A2179 A1932) with Touch ID and 2 Pack Keyboard Protectors,Laptop Hard Shell (Black Wave Wavy) Package includes: 1* Top Box 1* Transparent bottom case 2* Keyboard Cover Material: Plastic   Product Features With this unique protective case, you can use your Macbook Air 13 inch efficiently and conveniently!  The product material is excellent, can be reused, and maintain the original new appearance.  Distilled from the original design, it is a best practice helper.   High quality and customer satisfaction are our tenet. We hope that customers can use our products and provide them with satisfactory service","['13', 'wavy', 'service', 'cover', 'high', 'use', 'best', 'tenet', 'customer', 'transparent', 'includes', 'distilled', 'air', 'satisfactory', 'pack', 'wave', 'macbook', 'a2337', 'product', 'provide', '2019', 'maintain', 'touch', 'reused', 'inch', 'material', 'feature', 'case,2020', 'satisfaction', 'shell', 'unique', 'protective', 'protector', 'a2179', 'hard', 'black', 'compatible', 'keyboard', 'package', 'design', 'helper', 'laptop', 'hope', 'box', 'miwasion', 'efficiently', 'quality', 'excellent', 'release', 'new', 'practice', 'a1932', 'top', 'plastic', 'original', 'm1', '2', 'bottom', 'conveniently', '1', 'appearance', 'id', 'case', '2018']",0.34311447811447804,Positive,High Review
15,"YANENAN Stickers for Kids, 200 PCS Cute Vinyl Waterproof Aesthetic Water Bottle Stickers for Laptop, PC, Skateboard, Luggage with Christmas, Birthday Party Gifts for Teens Girls, Kids",YANENAN,,$,4.99,4.6,2234.0,"YANENAN Stickers for Kids, 200 PCS Cute Vinyl Waterproof Aesthetic Water Bottle Stickers for Laptop, PC, Skateboard, Luggage with Christmas, Birthday Party Gifts for Teens Girls, Kids ","['party', 'yanenan', 'water', 'aesthetic', 'waterproof', 'kid', 'pc', 'teen', 'gift', 'bottle', 'cute', 'christmas', 'birthday', 'laptop', 'vinyl', 'luggage', '200', 'sticker', 'skateboard', 'girl']",0.25,Positive,High Review
16,"LINKEET 96W USB C Power Adapter, Type C PD Wall Fast Charger Compatible with MacBook Pro/Air, Dell, Lenovo, HP, Chromebook, Laptops or Phones with USB-C Port, 6.6ft USB C to C Charging Cable, White",LINKEET,,$,24.99,5.0,2.0,"LINKEET 96W USB C Power Adapter, Type C PD Wall Fast Charger Compatible with MacBook Pro/Air, Dell, Lenovo, HP, Chromebook, Laptops or Phones with USB-C Port, 6.6ft USB C to C Charging Cable, White ","['dell', 'cable', 'chromebook', 'power', 'charger', 'macbook', 'wall', 'usb', 'linkeet', 'pro/air', 'fast', 'hp', 'white', 'lenovo', 'c', 'compatible', 'pd', 'laptop', '6.6ft', 'type', 'adapter', 'usb-c', 'charging', '96w', 'phone', 'port']",0.1,Positive,High Review
17,"100W USB C Laptop Charger, Universal GaN III Power Supply Adapter, Replacement Foldable Fast Charger PD3.0 for MacBook Pro/Air, HP, Lenovo, Asus, Steam Deck, and All Type C Devices (5ft Cable)",TOBENONE,,$,28.79,4.7,88.0,"100W USB C Laptop Charger, Universal GaN III Power Supply Adapter, Replacement Foldable Fast Charger PD3.0 for MacBook Pro/Air, HP, Lenovo, Asus, Steam Deck, and All Type C Devices (5ft Cable) ","['deck', 'foldable', 'steam', 'iii', 'device', 'gan', 'cable', 'power', 'charger', 'macbook', 'universal', 'usb', 'pro/air', 'supply', 'fast', 'hp', 'lenovo', 'c', 'laptop', 'type', 'adapter', '5ft', 'replacement', 'asus', '100w', 'pd3.0']",0.1,Positive,High Review
18,"ARZOPA 16.1"" Portable Monitor Sleeve Bag, PU Leather Case for Travel Monitor Laptop, Grey",ARZOPA,,$,25.99,4.1,125.0,"ARZOPA 16.1"" Portable Monitor Sleeve Bag, PU Leather Case for Travel Monitor Laptop, Grey ","['leather', 'grey', '16.1', 'portable', 'pu', 'laptop', 'monitor', 'arzopa', 'bag', 'sleeve', ""''"", 'case', 'travel']",-0.05,Negative,High Review
19,"Lacdo 360° Protective Laptop Sleeve Case for 15 inch New MacBook Air M2 2023 A2941, 15 inch MacBook Pro A1990 A1707, Dell XPS 15 Plus 2022-2020 Computer Bag, Shockproof, Water-Resistant, Black",Lacdo,,$,20.99,4.7,23411.0,"Lacdo 360° Protective Laptop Sleeve Case for 15 inch New MacBook Air M2 2023 A2941, 15 inch MacBook Pro A1990 A1707, Dell XPS 15 Plus 2022-2020 Computer Bag, Shockproof, Water-Resistant, Black ","['360°', '2023', 'a2941', 'a1990', 'dell', 'sleeve', 'air', 'xps', 'lacdo', 'macbook', 'plus', 'bag', 'inch', 'protective', 'shockproof', 'water-resistant', 'black', '2022-2020', 'laptop', 'new', '15', 'a1707', 'm2', 'pro', 'case', 'computer']",-0.015151515151515152,Negative,High Review
20,"150 Pcs Funny Stickers,Meme Stickers,Funny Stickers for Adults,Vinyl Stickers Waterproof for Adults,Laptop Sticker Pack,Bumper,Water Bottles,Computer,Phone,Hard Hat,Car Stickers Decals",Pterosauria,,$,5.59,4.5,283.0,"150 Pcs Funny Stickers,Meme Stickers,Funny Stickers for Adults,Vinyl Stickers Waterproof for Adults,Laptop Sticker Pack,Bumper,Water Bottles,Computer,Phone,Hard Hat,Car Stickers Decals ","['150', 'water', 'meme', 'decal', 'pack', 'waterproof', 'pc', 'car', 'bumper', 'bottle', 'adult', 'funny', 'hard', 'laptop', 'vinyl', 'sticker', 'hat', 'phone', 'computer']",0.01944444444444443,Positive,High Review
21,"LUXJA Rolling Teacher Bag with Laptop Compartment and Detachable Dolly, Multifunctional Rolling Teacher Tote Bag (Patent Pending), Black",LUXJA,,$,90.59,4.1,37.0,"LUXJA Rolling Teacher Bag with Laptop Compartment and Detachable Dolly, Multifunctional Rolling Teacher Tote Bag (Patent Pending), Black ","['black', 'compartment', 'teacher', 'patent', 'rolling', 'laptop', 'multifunctional', 'bag', 'detachable', 'pending', 'tote', 'luxja', 'dolly']",-0.16666666666666666,Negative,High Review
22,Thibault Aluminum Laptop Stand for Desk - Cooling Ergonomic Design - Fits MacBook Air Pro/DELL/HP/Lenovo/ThinkPad/Alienware - 13/14/15.6/16 -Easy Assembly- Ventilated Laptop Stand for Optimal Airflow,Thibault,,$,6.99,4.6,140.0,Thibault Aluminum Laptop Stand for Desk - Cooling Ergonomic Design - Fits MacBook Air Pro/DELL/HP/Lenovo/ThinkPad/Alienware - 13/14/15.6/16 -Easy Assembly- Ventilated Laptop Stand for Optimal Airflow ,"['cooling', 'thibault', 'macbook', '13/14/15.6/16', 'ventilated', 'optimal', 'assembly-', 'design', 'desk', 'stand', 'laptop', 'pro/dell/hp/lenovo/thinkpad/alienware', '-easy', 'airflow', 'aluminum', 'fit', 'air', 'ergonomic']",0.4166666666666667,Positive,High Review
